2026-02-24 17:32:42,674 INFO    MainThread:83454 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-24 17:32:42,675 INFO    MainThread:83454 [wandb_setup.py:_flush():81] Configure stats pid to 83454
2026-02-24 17:32:42,675 INFO    MainThread:83454 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-24 17:32:42,675 INFO    MainThread:83454 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/tomita/lab/kenshu/kadai2/2-4/wandb/run-20260224_173242-eiwnec15/logs/debug.log
2026-02-24 17:32:42,675 INFO    MainThread:83454 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/tomita/lab/kenshu/kadai2/2-4/wandb/run-20260224_173242-eiwnec15/logs/debug-internal.log
2026-02-24 17:32:42,675 INFO    MainThread:83454 [wandb_init.py:init():844] calling init triggers
2026-02-24 17:32:42,675 INFO    MainThread:83454 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'device': 'cuda:0', '_wandb': {}}
2026-02-24 17:32:42,675 INFO    MainThread:83454 [wandb_init.py:init():892] starting backend
2026-02-24 17:32:42,918 INFO    MainThread:83454 [wandb_init.py:init():895] sending inform_init request
2026-02-24 17:32:42,943 INFO    MainThread:83454 [wandb_init.py:init():903] backend started and connected
2026-02-24 17:32:42,945 INFO    MainThread:83454 [wandb_init.py:init():973] updated telemetry
2026-02-24 17:32:42,963 INFO    MainThread:83454 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-24 17:32:44,120 INFO    MainThread:83454 [wandb_init.py:init():1042] starting run threads in backend
2026-02-24 17:32:44,160 INFO    MainThread:83454 [wandb_run.py:_console_start():2524] atexit reg
2026-02-24 17:32:44,160 INFO    MainThread:83454 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-24 17:32:44,160 INFO    MainThread:83454 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-24 17:32:44,160 INFO    MainThread:83454 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-24 17:32:44,162 INFO    MainThread:83454 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-24 17:32:44,219 INFO    wandb-AsyncioManager-main:83454 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-24 17:32:44,219 INFO    wandb-AsyncioManager-main:83454 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
